time,pitch_1 (°),roll_1 (°),range_1 (mm),pitch_2 (°),roll_2 (°),range_2 (mm)
2025/4/14 11:54:59,36.56,-13.23,14,84.51,18.99,7
2025/4/14 11:55:02,36.48,-13.35,12,84.33,18.39,5
2025/4/14 11:55:05,36.46,-13.32,13,84.54,18.12,5
2025/4/14 11:55:08,36.42,-13.43,13,84.47,19.02,4
2025/4/14 11:55:11,36.47,-13.41,15,67.55,69.54,3
2025/4/14 11:55:14,35.92,-12.33,14,89.95,-20.51,3
2025/4/14 11:55:17,35.87,-12.38,13,74.91,-28.1,5
2025/4/14 11:55:20,36.13,-12.35,15,74.83,-26.66,4
2025/4/14 11:55:23,36.06,-12.3,13,74.89,-26.04,4
2025/4/14 11:55:26,35.95,-12.4,13,74.92,-25.85,6
2025/4/14 11:55:29,36.03,-12.47,13,74.95,-25.56,3
2025/4/14 11:55:32,36.04,-12.61,15,74.98,-25.24,4
2025/4/14 11:55:35,35.82,-12.49,13,74.91,-24.88,4
2025/4/14 11:55:38,35.84,-12.32,15,75.09,-24.49,2
2025/4/14 11:55:41,36.04,-12.46,13,75.02,-24.68,2
2025/4/14 11:55:44,35.96,-12.48,13,74.92,-24.34,4
2025/4/14 11:55:47,35.94,-12.59,12,75.05,-24.26,6
2025/4/14 11:55:50,36.07,-12.49,13,74.91,-23.91,4
2025/4/14 11:55:53,35.91,-12.35,11,75.05,-24.2,3
2025/4/14 11:55:56,36.06,-12.41,13,75.08,-23.32,2
2025/4/14 11:55:59,36.19,-12.52,14,75.05,-23.82,2
2025/4/14 11:56:02,35.83,-12.42,14,75.11,-23.63,1
2025/4/14 11:56:05,35.94,-12.15,13,74.73,-23.09,4
2025/4/14 11:56:08,35.95,-12.61,13,74.96,-23.33,3
2025/4/14 11:56:11,36.01,-12.49,13,74.96,-22.95,3
2025/4/14 11:56:14,36.08,-12.28,13,74.86,-22.93,4
2025/4/14 11:56:17,36.16,-12.58,13,74.98,-23.24,3
2025/4/14 11:56:20,36.04,-12.44,14,74.98,-22.98,3
2025/4/14 11:56:23,36.09,-12.41,11,74.95,-23.08,4
2025/4/14 11:56:26,36.19,-12.46,13,74.97,-22.91,3
2025/4/14 11:56:29,36.1,-12.64,12,74.95,-22.71,4
2025/4/14 11:56:32,36.08,-12.41,13,74.94,-22.76,5
2025/4/14 11:56:38,36.04,-12.29,13,75.05,-22.56,2
2025/4/14 11:56:41,36.04,-12.45,11,75.03,-22.51,2
2025/4/14 11:56:44,36.09,-12.24,12,75.05,-22.53,7
2025/4/14 11:56:47,35.89,-12.6,12,75.04,-22.13,3
2025/4/14 11:56:50,35.9,-12.26,12,75.03,-22.44,4
2025/4/14 11:56:53,36,-12.25,13,75.02,-21.99,1
2025/4/14 11:56:56,35.94,-12.32,13,75.01,-22.17,5
2025/4/14 11:56:59,36.06,-12.18,14,75.12,-22.2,3
2025/4/14 11:57:02,36.06,-12.29,12,75.14,-22.21,4
2025/4/14 11:57:05,35.9,-12.06,12,75.05,-22.09,4
2025/4/14 11:57:08,36.11,-12.36,13,75.1,-22.04,2
